Symbol,Name,Sector,Sector Ticker,Sector ETF Ticker,,,,,,
A,Agilent Technologies Inc,Health Care,^SP500-35,IYH,,- 'A',,,,
AAL,American Airlines Group,Industrials,^SP500-20,IYJ,,- 'AAL',,,,
AAP,Advance Auto Parts,Consumer Discretionary,^SP500-25,XLY,,- 'AAP',,,,
AAPL,Apple Inc.,Information Technology,^SP500-45,IYW,,- 'AAPL',,,,
ABBV,AbbVie Inc.,Health Care,^SP500-35,IYH,,- 'ABBV',,,,
ABC,AmerisourceBergen Corp,Health Care,^SP500-35,IYH,,- 'ABC',,,,
ABT,Abbott Laboratories,Health Care,^SP500-35,IYH,,- 'ABT',,,,
ACN,Accenture plc,Information Technology,^SP500-45,IYW,,- 'ACN',,,,
ADBE,Adobe Systems Inc,Information Technology,^SP500-45,IYW,,- 'ADBE',,,,
ADI,"Analog Devices, Inc.",Information Technology,^SP500-45,IYW,,- 'ADI',,,,
ADI,Analog Devices,Information Technology,^SP500-45,IYW,,- 'ADI',,,,
ADM,Archer-Daniels-Midland Co,Consumer Staples,^SP500-30,VDC,,- 'ADM',,,,
ADP,Automatic Data Processing,Information Technology,^SP500-45,IYW,,- 'ADP',,,,
ADS,Alliance Data Systems,Information Technology,^SP500-45,IYW,,- 'ADS',,,,
ADSK,Autodesk Inc,Information Technology,^SP500-45,IYW,,- 'ADSK',,,,
AEE,Ameren Corp,Utilities,^SP500-55,IDU,,- 'AEE',,,,
AEP,American Electric Power,Utilities,^SP500-55,IDU,,- 'AEP',,,,
AES,AES Corp,Utilities,^SP500-55,IDU,,- 'AES',,,,
AFL,AFLAC Inc,Financials,^SP500-40,IYF,,- 'AFL',,,,
AIG,"American International Group, Inc.",Financials,^SP500-40,IYF,,- 'AIG',,,,
AIV,Apartment Investment & Management,Real Estate,^SP500-60,IYR,,- 'AIV',,,,
AIZ,Assurant Inc,Financials,^SP500-40,IYF,,- 'AIZ',,,,
AJG,Arthur J. Gallagher & Co.,Financials,^SP500-40,IYF,,- 'AJG',,,,
AKAM,Akamai Technologies Inc,Information Technology,^SP500-45,IYW,,- 'AKAM',,,,
ALB,Albemarle Corp,Materials,^SP500-15,IYM,,- 'ALB',,,,
ALGN,Align Technology,Health Care,^SP500-35,IYH,,- 'ALGN',,,,
ALK,Alaska Air Group Inc,Industrials,^SP500-20,IYJ,,- 'ALK',,,,
ALL,Allstate Corp,Financials,^SP500-40,IYF,,- 'ALL',,,,
ALLE,Allegion,Industrials,^SP500-20,IYJ,,- 'ALLE',,,,
ALXN,Alexion Pharmaceuticals,Health Care,^SP500-35,IYH,,- 'ALXN',,,,
